node1,node2,bwd,delay,pkloss
1,3,99999.068726,8.355498,0.0
1,7,99998.805462,4.550695,0.0
1,16,99998.366689,6.64866,0.0
2,4,99998.542198,529.411554,0.0
2,7,99998.927244,8.493423,0.0
2,12,99998.893217,288.335562,0.0
2,13,99999.392881,7.673621,0.0
2,18,24997.138124,252.554655,0.0
2,23,24999.041863,168.407798,0.0
3,10,99999.480665,1.610518,0.0
3,11,24999.743914,2.689481,0.0
3,14,1549.743914,7.079601,0.0
3,21,99998.866417,4.14443,0.0
4,16,99998.629953,4.222751,0.0
5,8,24999.770802,4.618883,0.0
5,16,24999.156481,0.689983,0.0
6,7,1549.217372,3.216863,0.0
6,19,1549.831673,4.226685,0.0
7,17,99997.550034,323.033452,0.0
7,19,24998.515335,4.027605,0.0
7,21,99998.866353,4.000306,0.0
8,9,24999.129568,6.996155,0.0
9,15,24998.164213,3.100634,0.0
9,16,99998.339732,4.321218,0.0
10,11,24999.332028,3.56245,0.0
10,12,99999.068726,13.100028,0.0
10,16,99998.19118,4.622459,0.0
10,17,99997.928032,135.61821,0.0
12,22,99998.454444,6.778121,0.0
13,14,1549.200403,4.40371,0.0
13,17,99998.147717,102.508664,0.0
13,19,24998.805596,5.881071,0.0
15,20,24997.840282,9.292722,0.0
17,20,99995.778636,57.908535,0.0
17,23,24997.72567,95.142126,0.0
18,21,24999.041916,3.726006,0.0
20,22,24998.45453,5.036235,0.0
